location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
nerul,756.55,2,3,28,10,13.1,0,0,9123487
nerul,909.15,2,1,34,11,13.9,0,1,13407821
belapur,2778.55,2,4,28,16,11,1,1,32389289
kharghar,939.92,4,4,19,5,11.8,0,0,11886994
kharghar,1655.97,2,2.529589,19,36,24.8,1,1,29784238
airoli,1614.17,1,3,4,11,5.6,0,1,15422326
nerul,1747.74,1,1,24,17,6.3,0,0,21730868
kharghar,1118.92,3,2.529589,4,15,8.8,1,1,20732671
kharghar,1383.08,2.45977,4,31,20,5.2,0,0,21581302
nerul,932.87,2,3,4,7,8.3,0,1,9716098
panvel,74.16,3,2,10,35,1.7,1,0,1221705
vashi,1198.63,2,3,18,31,5.8,0,1,23006520
airoli,327.37,2.45977,2,15,34,5.4,0,0,4345409
airoli,1237.58,2,4,0,19.84628,14,0,0,17717482
kharghar,125.7,2,3,29,19,9.8,0,1,2044763
panvel,847.08,3,1,34,19.84628,14.5,0,0,8800312
kharghar,861.58,2.45977,4,16.554003,27,8.4,1,0,14054526
ulwe,858.41,2,4,16.554003,16,8.5,0,1,8198075
belapur,1566.13,2,1,12,21,4.7,1,1,16787632
nerul,749.3,3,4,26,30,13.5,1,1,14152260
kharghar,816.94,2.45977,1,31,11,14.6,1,0,8563880
panvel,1134.02,1,4,28,26,9.4,0,0,14137503
kharghar,1708.06,1,2,8,31,6.4,0,1,22838391
ulwe,1161.11,2.45977,2,1,10,13,0,0,14721206
ghansoli,922.55,2,2,24,26,0.2,1,0,11628397
kharghar,235.45,4,2,22,35,4.3,0,0,4920014
airoli,1056.85,2.45977,2,7,15,11.1,0,0,15754465
airoli,1297.47,4,2,29,1,2.1,0,0,16616236
panvel,-351.79,2.45977,3,14,3,15.2,0,1,-3981893
kharghar,1082.95,2.45977,4,13,26,5.7,1,1,17475406
cbd belapur,1398.74,3,2,23,21,15.9,0,1,18758043
panvel,936.19,4,2,16.554003,20,2.2,0,0,10845277
kharghar,642.34,3,4,20,8,2.4,1,0,11990005
kharghar,927.22,2.45977,2,22,34,9.8,1,1,12776285
airoli,620.21,2,2,16.554003,2,3.5,1,1,5449498
nerul,1575.16,4,3,18,11,6.4,1,0,19286161
belapur,1043.55,2,4,17,21,15,1,1,12927783
ghansoli,836.51,2.45977,4,26,25,11.5,0,0,9190872
cbd belapur,905.51,1,2.529589,22,14,2.6,0,1,15684609
panvel,134.65,1,4,5,28,12.5,1,0,1921357
panvel,1238.59,2.45977,4,31,10,11.8,0,1,15927819
ghansoli,493.33,1,3,16.554003,38,5.7,1,0,9186220
cbd belapur,8.67,4,2.529589,31,8,4.2,0,0,783750
kharghar,1320.27,4,3,7,39,8.2,0,0,24155746
ulwe,1000.34,2,2,16,13,14.2,1,0,18537344
panvel,1103.23,1,2,26,35,3.2,0,1,19376929
belapur,2246.06,4,4,6,31,13.4,0,0,44346106
ghansoli,1251.49,2,1,5,27,13.6,0,0,13967281
ghansoli,424.15,2,3,20,14,2.6,0,0,7822142
panvel,14.73,2,1,18,24,0.3,1,0,441508
airoli,572.98,3,1,23,6,17.7,1,0,7886312
ulwe,896.37,2,4,16.554003,38,1.6,0,0,12667773
nerul,1086.24,3,3,18,37,16.6,1,0,19422583
panvel,1232.59,2,3,33,39,14.7,1,1,15504816
belapur,1171.3,3,4,16.554003,30,0.9,0,1,13990020
panvel,968.57,2,2.529589,14,27,0.2,1,1,16041426
airoli,592.26,2.45977,2,7,16,3.9,0,1,10433864
airoli,819.32,2,2,30,18,1.7,1,0,8857743
ghansoli,1301.77,2.45977,4,5,7,1.5,0,1,18691871
kharghar,1089.03,2.45977,2.529589,21,37,4.8,1,1,9592394
cbd belapur,1214.9,1,3,6,35,2.4,1,0,12437275
airoli,449.99,2,2,22,1,10.2,1,0,5780341
cbd belapur,1004.08,2.45977,2.529589,8,4,6,0,0,13237286
kharghar,837.11,3,3,25,6,9.8,1,0,11415509
nerul,627.79,3,3,1,35,6.7,1,0,11908624
nerul,1807.2,1,3,8,34,5.2,0,0,31253420
vashi,1070.56,2,2.529589,18,21,7.8,0,1,18701726
belapur,666.23,2.45977,4,16,32,11.9,1,0,8266749
airoli,1825.06,2.45977,1,5,8,3.4,0,1,22822797
kharghar,425.01,2,2.529589,8,1,11.2,0,0,5943118
nerul,1348.39,2.45977,2,30,7,3.8,0,0,14518984
airoli,1081.37,1,1,7,4,14.3,0,0,19009027
airoli,836.13,2,2,3,26,5.4,0,0,11327917
belapur,537.41,2,2,33,28,12,1,1,9434744
panvel,819.93,2.45977,2.529589,30,3,2.4,0,0,7914673
airoli,1526.51,1,3,28,16,0.6,0,0,21885999
nerul,1525.72,2.45977,1,5,31,10.5,0,0,18035083
ghansoli,911.35,2.45977,4,16,19,7.2,0,1,15670250
panvel,605.77,2.45977,3,25,9,6.1,0,1,9953953
ulwe,4065.39,4,3,1,23,13.4,1,1,84066042
airoli,1749.55,2,4,4,1,20.2,1,0,19422221
belapur,1142.27,2.45977,1,4,24,9.5,0,1,16366101
vashi,1333.35,1,1,13,34,8.3,1,0,15541650
panvel,1799.91,2,3,28,19.84628,16,0,0,25056386
cbd belapur,1482.83,2.45977,4,27,4,3.2,1,0,24871804
belapur,1262.47,2,1,8,34,2.2,0,0,20791939
nerul,1687.37,1,1,27,9,16.2,0,0,31920538
cbd belapur,1185.4,2.45977,1,20,27,12,0,0,20649858
belapur,791.12,2.45977,2,33,1,17.6,1,1,10327600
nerul,997.84,2,2,32,38,13.9,1,0,9669891
nerul,1139.26,4,2,32,21,3.8,0,0,12696327
nerul,1085.48,2,4,10,28,15.2,1,1,16493928
belapur,945.31,2,1,23,10,5.2,1,0,16274802
cbd belapur,667.92,2.45977,2.529589,23,27,3.8,0,0,10012877
kharghar,1180.7,3,4,6,34,19.2,1,0,21282815
airoli,754.69,2,1,31,7,11.8,0,1,8904107
kharghar,1154.21,1,1,24,10,9.2,1,0,15282177
panvel,1173.49,2.45977,2.529589,18,38,7.1,0,1,18444581
cbd belapur,546.88,3,4,14,3,1.3,1,0,8055204
cbd belapur,1110.77,2.45977,1,11,25,3.7,0,0,16842882
panvel,1553.2,2,2.529589,0,17,4.9,1,0,25001722
panvel,1012.66,1,2.529589,18,30,9.5,0,1,14418625
kharghar,185.16,2,2.529589,18,2,10.4,1,0,2188692
belapur,1254.13,2,2,29,36,1.4,0,1,24774467
panvel,1440.56,2,1,23,16,14.9,1,0,19373816
vashi,1222.09,1,2.529589,30,17,3.6,1,1,17479222
nerul,1548.44,2.45977,4,33,16,5.1,1,1,26352840
ulwe,1309.16,2.45977,3,16,32,6.8,0,0,13866046
nerul,983.01,2.45977,1,34,25,7,0,0,11104708
airoli,1082.54,2,1,20,34,11.2,0,0,14128757
kharghar,607.96,3,2,16.554003,25,0.8,0,1,9067584
kharghar,844.19,2.45977,4,33,19.84628,4,0,1,9315058
nerul,988.8,2.45977,1,13,14,11.6,1,1,13625999
ghansoli,1452.48,1,4,24,14,15.1,0,0,17656346
ghansoli,1273.71,1,1,32,38,8.7,0,0,14884164
cbd belapur,604.29,2,2.529589,25,38,14.8,1,1,9986009
belapur,1124.03,1,3,29,17,6.2,0,0,13581935
ulwe,1651.28,2.45977,4,30,4,5.8,1,1,16695439
airoli,501.45,3,2,19,24,5.6,1,0,9796347
nerul,769.34,2.45977,4,22,31,9.2,0,0,12644765
airoli,192.9,2,4,9,35,9.9,0,1,2570829
nerul,133.81,3,4,12,31,10.5,0,0,1950081
airoli,130.21,1,1,25,32,15.6,0,0,1580396
ulwe,1000.09,2,3,5,20,5.4,1,0,19923705
airoli,1083.09,3,3,11,28,0,0,0,21870732
cbd belapur,1797.14,1,2.529589,6,33,1,0,0,27736155
nerul,886.26,1,2,5,11,5.8,0,1,9540554
airoli,1324.18,4,4,1,30,11,1,0,14866630
kharghar,1138.62,3,1,28,29,3,0,0,21492728
airoli,978.91,2,2.529589,20,22,2.1,0,0,16925492
airoli,1152.16,4,3,2,1,9.2,1,0,16536069
vashi,1197.34,3,2.529589,12,16,16.7,0,0,20332617
panvel,894.62,2.45977,3,12,10,0.7,0,0,8540920
airoli,913.92,4,2,26,21,11,0,0,15873000
cbd belapur,1158.27,4,2,11,28,13.1,0,1,19057807
kharghar,1000.59,2.45977,1,11,10,1.5,1,0,10014922
airoli,1483.55,4,4,10,20,23,0,1,25016172
kharghar,1401.07,4,1,33,18,3.7,0,0,27068477
panvel,1296.87,3,4,25,30,5,0,1,14223228
cbd belapur,5897.93,2,4,15,14,2.5,0,1,78350830
nerul,750.97,2.45977,1,22,5,14.9,0,0,7025293
ulwe,656.36,2,1,7,17,8.5,1,0,7259613
belapur,3937.52,1,3,8,30,4.3,0,1,51537342
airoli,787.02,2,4,26,19,4.4,1,0,11910325
airoli,970.21,4,2.529589,22,38,9,0,0,19084011
ulwe,617.82,4,2.529589,8,6,11.1,0,1,12165470
panvel,818.84,4,4,25,1,8.9,1,1,15836955
nerul,688.25,2.45977,1,16.554003,14,3.4,0,0,11535015
airoli,412.75,2,2,30,28,5.6,0,1,6892439
belapur,623.04,1,3,21,28,9.9,1,0,8220114
ulwe,1399.22,4,2,9,14,0.3,0,1,17121449
airoli,713.73,3,2.529589,0,8,4.6,1,0,8311631
airoli,443.24,3,1,26,8,10.6,1,0,7278854
ghansoli,1713.77,2,3,29,15,12.9,0,0,28453093
nerul,658.17,2,2,6,6,2.7,0,0,8531466
ulwe,513.61,2,2.529589,8,4,5.5,0,0,6791715
airoli,1265.17,4,4,13,15,10.8,1,1,19670019
ulwe,1338.73,2,2,27,33,7.8,1,1,23672428
cbd belapur,4394.75,4,2,3,10,0.4,1,1,88608619
airoli,764.19,3,3,16,15,4.3,1,0,13242338
panvel,1561.57,2,3,32,3,10.2,0,0,26655042
kharghar,1039.69,4,3,20,32,5.9,0,0,11809091
panvel,1049.82,1,2.529589,14,37,1.1,1,0,15218591
panvel,909.95,3,2,11,24,8.3,0,1,13259234
kharghar,836.86,2,2.529589,18,12,15.7,0,0,8838223
kharghar,739.3,3,4,14,38,12,1,0,8319929
nerul,1691.36,2,4,16,24,10.7,1,0,29933047
cbd belapur,482.03,2,1,18,24,9.2,1,0,5511956
ulwe,1017.22,4,1,12,1,2,0,0,16524424
airoli,1075.06,2.45977,2,6,25,18.7,0,0,15001569
ghansoli,1809.39,2,4,21,5,17.7,1,1,22906453
nerul,556.15,1,4,16,20,11.4,0,0,6675945
nerul,261.96,2.45977,4,22,20,4.4,1,0,3755642
ghansoli,686.16,1,1,11,36,3.8,1,0,9280413
kharghar,792.58,4,2.529589,34,12,12.1,1,0,14531704
airoli,1050.82,1,2.529589,11,22,5.7,1,1,13370186
nerul,3927.95,1,4,8,15,14.1,1,1,60929562
ghansoli,723.44,3,2,25,36,13,0,1,8375039
vashi,282.35,3,2,4,3,3.4,1,0,3428709
nerul,1049.82,2.45977,2.529589,30,14,0.9,0,1,15939140
nerul,899.93,4,4,20,15,13.1,0,1,10648372
cbd belapur,484.72,2,1,9,21,8.1,0,1,10145898
ulwe,494.88,2,2,16,6,11.1,0,1,9124729
kharghar,737.6,2,1,16,25,4.3,0,0,12717236
ulwe,100.44,3,2,15,37,4.8,0,0,689971
cbd belapur,5142.61,2.45977,1,20,28,3.2,0,1,61977828
nerul,619.11,2.45977,4,3,14,11.1,1,0,11699533
ghansoli,388.96,2,2.529589,3,20,18.5,0,1,6440657
airoli,782.23,3,2,23,34,12.5,1,0,8798530
cbd belapur,920.23,3,3,7,27,11.7,0,1,11819900
panvel,1111.72,3,3,9,7,15.4,0,0,20379036
airoli,1172.49,3,4,31,37,10.7,0,0,12644383
nerul,602.81,4,3,10,26,6.7,1,0,6840628
ulwe,1291.76,2,2.529589,25,17,10,0,0,22639707
nerul,684.89,2.45977,4,23,12,2.5,1,0,7871862
nerul,349.69,3,2.529589,29,27,9,1,0,3321441
airoli,1416.84,2,4,27,33,17.7,1,1,18970284
ulwe,703.62,2.45977,2,9,35,1.9,0,0,10490332
kharghar,589.73,4,2.529589,11,37,2.2,0,0,12678311
ghansoli,1523.72,2,3,31,39,9.7,0,0,20721869
belapur,1153.61,4,1,7,28,14.9,0,1,16243063
nerul,666.95,2,2.529589,29,29,3.7,0,0,11006576
nerul,1299.13,2,2.529589,26,35,2.2,1,0,12745896
vashi,1503.81,1,4,24,22,10.7,0,0,25358242
vashi,1298.88,3,2,8,39,6.1,0,0,23084382
ghansoli,1503.28,1,2.529589,10,8,15.6,0,0,16236948
airoli,855.3,1,2.529589,1,4,12,1,0,10263524
vashi,783,2,2,28,30,3.2,0,1,9503578
vashi,1079.3,3,2.529589,18,2,15.5,0,0,16795400
kharghar,1227.87,2,1,13,13,5.4,0,1,13374048
airoli,1073.81,3,2,2,18,12.2,1,0,13386398
vashi,1447.54,1,3,32,7,7.4,1,1,27685265
panvel,1008.13,2.45977,2,8,20,8.3,1,0,12540598
ghansoli,451.76,2.45977,1,8,4,3.8,0,1,4967390
ghansoli,925.56,2.45977,3,32,2,8.4,0,1,8743928
panvel,203.38,2,1,7,2,14,0,1,3802472
kharghar,1384.39,3,3,12,2,6,0,0,14652894
belapur,1420.87,2,2,28,1,8.8,1,0,20758283
ulwe,812.72,3,3,31,21,4.5,0,0,13756307
nerul,949.08,4,2.529589,31,10,7.9,0,1,19697930
kharghar,1103.59,4,2.529589,4,20,6.3,0,0,14646664
kharghar,-86.42,1,3,1,21,4.7,1,1,-1057893
nerul,1042.03,2.45977,1,19,35,11,0,0,16003508
kharghar,1846.37,3,4,20,10,10.9,0,0,30554854
kharghar,546.02,1,2,9,21,3.6,0,1,7377967
nerul,1313.21,1,2.529589,16,23,3.8,0,0,14004345
ulwe,596.07,2,3,23,19,9.7,0,0,10707906
airoli,698.61,4,2,24,7,6.2,1,0,11424626
vashi,408.39,2.45977,1,6,8,4.7,0,0,6053108
ulwe,721.6,1,2,20,2,6.4,0,0,13345610
belapur,1769.48,1,4,10,28,1.8,0,1,25588839
ghansoli,1381.16,4,1,24,28,4.7,1,1,24343238
vashi,1355.86,2,2,12,5,3.1,1,0,21633756
ghansoli,627.93,4,2.529589,3,20,14.5,1,0,9934222
vashi,1197.49,1,1,14,3,12.4,0,0,20795845
ulwe,856.56,2,2,29,25,9.2,1,1,9451054
ghansoli,1390.24,3,2,14,28,9.5,1,1,15950407
kharghar,1382.94,1,4,2,32,0.4,1,0,21602398
vashi,1825.4,2.45977,2.529589,22,22,6.6,1,1,17323272
airoli,730.26,2,2.529589,23,16,15.9,1,0,8541162
panvel,958.35,2,2.529589,30,24,9.4,0,0,18519314
nerul,500.02,2,3,29,39,6,0,1,10113992
nerul,789.52,2,2.529589,17,15,12.3,0,0,8154436
belapur,1212.62,3,3,32,26,2.2,0,1,17028146
nerul,398.48,2.45977,4,24,21,6.8,0,0,5198873
vashi,238.56,2.45977,3,1,37,9.9,1,0,3405204
cbd belapur,961.71,2,1,4,7,10.6,0,0,17520168
kharghar,1024.28,2,3,3,17,9.2,1,1,14561231
belapur,604.24,2.45977,1,29,18,7.2,0,1,9442314
kharghar,969.41,2,4,4,10,3,1,1,12500385
panvel,1323.1,2,2,12,38,5.4,0,0,13365312
nerul,594.46,3,1,25,31,7,0,0,9961666
ghansoli,999.14,3,2.529589,8,23,1.9,1,1,20304843
kharghar,656.81,2.45977,1,20,3,14.6,0,1,8580878
belapur,742.34,2,2.529589,31,14,21,1,0,8201396
panvel,650.48,4,3,16.554003,12,10.5,1,0,13454840
airoli,1698.43,2.45977,2,14,5,2.9,0,0,19324341
vashi,1178.38,4,2,16.554003,1,3.1,0,0,23542636
airoli,1210.61,4,3,23,12,1.2,0,0,19536797
kharghar,615.7,2,4,5,9,21.3,0,0,6342681
nerul,558.11,2,2.529589,34,6,1.1,1,0,4757711
kharghar,1233.24,4,3,5,38,13.7,0,1,13265353
nerul,1108.96,4,1,16.554003,9,3.5,0,0,14087240
airoli,1021.65,2,2,28,5,2.8,0,1,16411688
ulwe,643.68,2,3,11,13,7.8,1,0,10370490
belapur,1798.86,4,4,12,5,14.2,0,0,27214214
airoli,1206.22,4,4,6,11,8.7,1,1,14853591
ulwe,798.86,2,4,18,36,5.1,0,0,11027943
kharghar,448.96,2,2.529589,6,7,5,0,1,5195260
nerul,1737.02,2.45977,2.529589,9,18,6.2,1,0,19269176
nerul,419.38,2.45977,3,23,25,13.6,0,1,4512510
kharghar,980.74,1,2,33,19,6.7,0,1,17670913
belapur,1257.99,3,1,6,39,15.6,0,1,24488300
vashi,725.38,3,1,14,19,4.7,1,0,11018563
panvel,1328.72,2,2,20,36,8.3,1,1,14210461
kharghar,1170.32,2.45977,2,0,24,10.7,0,1,20073861
airoli,829.67,3,4,8,25,1.8,0,0,11876738
airoli,1167.13,2,2.529589,32,19,16.8,1,0,11889503
cbd belapur,548.5,4,2,21,39,11.1,0,1,10420091
cbd belapur,1560.47,2,2,16.554003,29,3.7,1,1,17046971
nerul,1092.17,2,4,6,8,16.2,0,1,14216194
airoli,1178.41,2,3,29,12,11.8,1,1,14621186
nerul,604.23,2,3,24,34,17.5,0,1,7561941
panvel,740.14,1,2.529589,29,33,11,0,1,7598718
kharghar,786.76,1,4,19,11,2,0,0,10348306
airoli,3448.69,2,3,20,15,6,0,0,50284109
vashi,1132.93,1,3,28,25,20.6,0,0,21612480
belapur,882.41,4,3,15,25,2.3,0,0,15679936
cbd belapur,983.53,4,3,9,1,16.5,0,0,12649800
airoli,743.83,2.45977,3,4,39,4.4,0,0,7822011
vashi,348.11,2.45977,4,33,27,12.6,1,1,3679048
panvel,2780.69,2,1,27,30,3.2,0,1,31195275
ghansoli,611.47,2,2.529589,27,6,11.3,0,1,10121242
panvel,1555.38,4,4,7,36,11.8,1,0,33663371
nerul,101.16,2,3,34,14,7.5,1,1,2206525
ulwe,1239.65,2,2.529589,10,24,20.7,0,1,15321978
vashi,805.74,2,1,3,16,11.2,1,0,9428058
ghansoli,656.1,1,4,27,9,6.8,0,1,11231959
cbd belapur,1515.67,1,2.529589,23,17,11.9,0,1,15997919
airoli,839.59,2,2.529589,27,26,9.6,0,0,9488590
kharghar,872.02,2,1,6,17,5.8,0,0,14348386
airoli,819.39,1,1,16.554003,24,1,1,0,8839091
nerul,511.51,4,4,16.554003,36,7.6,0,0,6747153
vashi,1373.18,3,2.529589,16.554003,21,8.5,1,0,20319877
kharghar,1037.64,2,2,4,38,8.5,0,1,9901985
vashi,1235.31,4,1,9,26,1.8,1,1,20235391
vashi,1044.42,2,2.529589,26,25,5.7,0,1,12603544
kharghar,644.53,2,4,11,35,7.5,1,0,9142142
airoli,686.38,2.45977,3,16,39,4.6,1,0,6857454
panvel,1954.62,2.45977,2,4,5,7.8,0,1,22523824
panvel,2083.4,3,2,32,2,5.7,1,1,25833603
nerul,179.42,3,2,12,39,12.6,0,0,3101299
kharghar,498.77,2,2.529589,2,9,9.9,0,1,4547261
nerul,1121.27,2,2,1,10,6.3,1,0,11122091
belapur,1080.17,2.45977,3,12,6,2.9,0,1,14998430
kharghar,644,3,1,32,24,20.2,1,1,11734700
airoli,1213.81,2,2,31,19,18.6,1,1,20884979
ghansoli,1711.77,1,3,15,35,4.4,1,1,24546940
panvel,578.74,1,2.529589,16,17,8.4,0,0,9015840
ulwe,910.51,4,2,10,24,13,1,0,16383211
kharghar,1681.07,2,4,25,35,13.5,1,1,18170145
airoli,1488.47,3,4,33,36,1.5,0,0,20461326
airoli,135.51,4,1,5,4,8.3,1,1,1291451
cbd belapur,423.82,1,2,29,8,15.9,0,1,7873901
kharghar,458.39,4,1,7,32,11.3,0,0,6297912
nerul,1077.56,1,1,5,14,9.7,0,0,17898476
ghansoli,939.3,2,2.529589,2,25,16.7,1,0,17619381
kharghar,708.04,2,2.529589,16,2,11,0,1,13022649
belapur,723.05,2,2.529589,15,38,11.8,0,0,11197502
cbd belapur,575.4,2.45977,4,2,18,4,1,0,6377049
panvel,993.51,2,1,1,17,1.2,0,0,15921135
belapur,699.03,1,2,0,6,15.4,0,0,12776701
airoli,1003.04,1,3,12,14,18.3,0,0,18092214
nerul,2837.13,2,2,18,19.84628,10.8,0,0,43956251
ghansoli,1459.78,2,2,0,39,7.4,1,0,24686720
vashi,1068.96,1,1,34,22,7.4,1,0,13497333
vashi,829.39,4,1,30,21,0.9,1,1,13153295
kharghar,550.62,4,2,34,19.84628,17.7,1,0,6001513
belapur,1365.02,2,3,31,13,4.9,0,0,15652185
airoli,711.24,2,4,5,27,2,1,0,10734957
panvel,967.11,1,1,2,27,11,0,0,13404516
ulwe,394.05,4,1,23,19,7.3,0,0,5470237
nerul,1182.03,4,2.529589,25,12,8.5,1,1,19459248
panvel,727,2,3,15,27,0.2,1,1,11633168
panvel,1952.11,4,1,0,19,6.1,1,0,27151087
nerul,418.33,2,2.529589,4,25,7.6,1,0,8738722
kharghar,496.24,4,2,3,7,15.4,1,0,8122461
panvel,927.81,4,1,6,29,9.6,0,1,20037781
ghansoli,780.04,1,2.529589,3,33,14.3,1,1,14029231
airoli,1014.95,2.45977,1,20,12,0.6,0,1,15263651
belapur,846.14,2,1,32,31,20.6,1,1,12066978
airoli,449.84,2,1,18,31,11.6,0,1,5585609
vashi,1093.17,4,3,17,7,10.4,0,1,21612355
vashi,629.09,3,4,18,28,7,0,0,10090981
belapur,4235.61,2,3,18,20,1.7,0,0,62891366
nerul,274.36,4,4,23,28,12.3,1,0,3939939
airoli,936.9,1,4,5,28,4.7,0,0,14548914
kharghar,482.94,4,2.529589,27,2,8.1,0,0,7657954
airoli,1323.73,1,1,3,25,0.2,0,0,16997233
belapur,1283.44,2.45977,2,8,19,4.4,0,1,16808074
ghansoli,1363.02,2,3,10,24,17.4,1,0,25421186
ulwe,1.9,2,2.529589,16.554003,4,9.5,0,0,-562178
airoli,1307.97,2.45977,1,1,22,6.2,0,1,20253814
ghansoli,1714.57,3,2.529589,32,32,0.3,0,0,23092058
airoli,-305.41,3,2,28,32,7.2,0,1,-4780259
panvel,1034.84,1,3,15,28,2,0,0,12958564
belapur,1197.87,2,1,4,35,3.8,0,1,11232466
vashi,1419.39,2,2,14,15,10,0,1,24764331
airoli,688.84,2,3,16.554003,36,0.3,0,1,8693503
belapur,1093.38,2,4,11,27,3.6,0,1,18535863
panvel,83.73,2,4,15,23,11.9,0,1,2290711
vashi,983.17,2,2.529589,8,3,16.9,1,0,9835542
airoli,777.67,3,4,6,10,6,0,1,12991675
panvel,1548.05,2.45977,4,16.554003,32,9.3,1,1,15547679
ulwe,1424.58,2,2.529589,0,26,3.3,0,0,23569276
panvel,8084.51,2.45977,2.529589,0,26,4.7,0,0,110840830
vashi,697.44,1,3,11,8,8.3,0,1,7002097
cbd belapur,865.16,2,4,5,37,11.3,0,0,11520142
ulwe,1309.25,2,2,0,37,5.8,0,0,19797083
kharghar,699.47,3,4,14,11,11,1,0,7685783
nerul,931.63,2.45977,1,9,35,7.9,0,0,11593322
belapur,468.43,4,2.529589,14,31,9.4,1,0,6776487
kharghar,1096.7,3,4,25,2,5.7,0,1,12656634
kharghar,1415.9,2,2.529589,13,30,3.6,1,1,23177388
vashi,1057.52,4,2.529589,34,2,4.9,0,0,15645716
nerul,292.72,2,2.529589,14,39,3.8,0,0,5137252
panvel,1220.64,4,4,4,22,4.8,0,0,18005525
airoli,582.15,2.45977,2.529589,25,15,1.7,0,1,8515817
ulwe,659.89,2,3,18,35,9.4,1,0,7653096
ghansoli,1052.8,2,2.529589,31,37,0.1,0,1,16966460
airoli,1196.57,2,1,0,12,10.6,0,1,16099648
airoli,1842.6,2,1,16,18,0.1,1,1,18372861
nerul,1604.03,3,3,10,8,15.9,1,1,23164298
vashi,1156.67,1,2,2,21,3.2,1,0,21744586
cbd belapur,1043.51,2,3,5,3,1.3,0,0,19654020
cbd belapur,534.15,3,2,2,9,7.9,0,0,6145343
ulwe,-262.48,3,1,30,5,11.1,1,1,-4417431
belapur,961.39,2,3,10,39,8.1,1,0,14207840
vashi,1085.74,2,3,21,35,5.9,0,1,14318239
panvel,1668.35,2.45977,2.529589,5,34,4.3,0,0,28166003
airoli,897.71,2,1,20,9,14.6,0,1,13303891
kharghar,1437.39,2,2.529589,23,37,5.9,1,0,23128404
belapur,277.64,4,3,30,1,5,1,1,6403457
panvel,937.52,2,3,28,9,8.1,1,1,13856282
cbd belapur,543.39,2,1,8,4,6,0,0,6487465
airoli,398.97,2,1,19,21,18.2,0,1,4740331
belapur,586.95,1,2.529589,16.554003,5,6.3,1,0,7689898
panvel,139.94,3,4,17,27,9.1,1,1,2377916
airoli,690.32,2,1,2,27,10.9,0,1,12770692
airoli,1158.68,3,2,30,36,8.1,0,0,14495427
nerul,1439.12,3,2.529589,7,36,14,0,1,15849667
panvel,4634.19,4,2,26,14,12.9,0,0,51815149
kharghar,2018.09,2.45977,4,8,6,8.4,0,0,23067130
airoli,1209.58,3,3,13,26,17.8,0,0,13813883
belapur,575.36,2,2,19,33,14.6,1,1,6465599
belapur,1260.49,1,4,5,19.84628,5.1,0,0,17262607
nerul,1342.34,2,2,13,9,3.5,0,0,17719038
ulwe,1151.83,2,2,16.554003,21,11.8,1,1,15708630
kharghar,878.83,1,4,0,30,2.5,1,1,14340446
kharghar,908.48,2,4,21,15,0.9,1,0,16893129
airoli,1224.42,1,3,20,27,2.4,0,0,17354868
airoli,986.99,4,2.529589,12,25,11.8,0,0,12576831
vashi,1371.76,2,4,27,21,2.1,1,0,22560518
belapur,140.02,2,3,1,18,6.4,0,0,1372291
airoli,618.84,3,4,16,30,6.2,1,0,11482040
kharghar,1191.52,2,3,19,25,5.6,0,1,15691206
kharghar,975.29,1,2,16.554003,12,6.3,1,1,13202615
kharghar,387.34,2,3,12,11,2.5,0,0,5316786
airoli,1229.03,2.45977,4,20,30,3,0,0,12448036
airoli,1749.7,4,2.529589,6,34,14.8,1,1,20496518
belapur,39.43,1,4,8,18,6.8,1,0,1262787
panvel,818.56,3,1,8,9,14.9,1,0,11252467
vashi,1395.05,2.45977,3,6,9,7.6,1,0,13586188
vashi,1771.53,3,4,29,36,3.1,0,1,22846589
nerul,1724.13,4,2,4,1,16.4,1,0,28643735
ulwe,818.77,2,2,2,24,13.8,0,1,8325569
airoli,1442.18,3,2.529589,9,37,11.2,1,0,19998092
kharghar,1033.55,2,2.529589,34,17,3.8,0,0,15935413
vashi,300.49,2,3,16,26,2,0,0,4491682
panvel,1812.3,3,3,28,10,1.2,1,0,28426983
cbd belapur,697.99,3,1,29,3,12.4,0,1,7147122
airoli,454.47,1,3,26,25,15.2,0,0,6638668
panvel,908.63,2.45977,2,0,8,0.6,1,0,12005278
vashi,415.29,3,3,31,18,7,0,0,7147217
panvel,521.64,2,2.529589,20,30,10.9,0,0,9047974
ghansoli,1432.33,2.45977,3,6,27,2.4,0,1,21778004
kharghar,939.77,2,4,22,21,2.6,0,1,11029923
airoli,992.89,1,3,2,15,5,0,0,18112371
nerul,1388.97,2,1,1,11,12,0,1,20392595
belapur,892.54,4,1,30,34,7,1,0,19382457
nerul,1328.15,2.45977,1,10,20,15.6,1,0,15299529
airoli,629.27,1,1,29,19.84628,16.3,0,1,10000083
belapur,1029.8,2,1,15,24,20,0,0,11933625
airoli,503.14,4,4,27,35,1.9,0,0,10699137
airoli,1233.03,2.45977,4,8,32,5.8,1,0,18195772
cbd belapur,971.74,2,4,16.554003,10,21.7,0,0,16516603
belapur,1020.11,4,1,34,37,0,0,1,17885665
nerul,925.26,2,2,30,32,13.1,1,1,12779946
kharghar,1167.08,2,1,31,6,1.8,1,1,22026566
airoli,602.62,4,2.529589,0,37,3.9,0,0,11533528
ulwe,847.9,1,4,5,9,9.5,1,1,8460770
belapur,583.47,2.45977,2,34,14,3,1,1,10696485
nerul,72.25,1,4,12,6,17.6,0,0,1449768
